M = 
 [40931, 40876, 40792, 40724, 40621, 40536, 40448, 40406, 40410, 40454;
 40976, 40884, 40765, 40726, 40680, 40455, 40472, 40415, 40330, 40488;
 40779, 40878, 40840, 40843, 40667, 40594, 40485, 40440, 40380, 40411;
 40774, 40819, 40845, 40785, 40641, 40601, 40416, 40485, 40490, 40529;
 40714, 40784, 40827, 40657, 40552, 40596, 40477, 40470, 40312, 40371;
 40684, 40705, 40738, 40679, 40575, 40631, 40535, 40426, 40424, 40386;
 40568, 40635, 40696, 40610, 40576, 40565, 40544, 40475, 40436, 40492;
 40582, 40656, 40621, 40643, 40611, 40616, 40585, 40669, 40571, 40451;
 40633, 40634, 40674, 40636, 40617, 40591, 40647, 40695, 40591, 40529;
 40598, 40560, 40630, 40660, 40635, 40606, 40642, 40650, 40578, 40612]

